epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.421,1.07992,1.01481,1.01173,0.49559,0.40642,0.43283,0.26998,1.1266,0.87209,1.03859,0.000277293,0.000277293,0.000277293
2,453.425,1.14876,0.8809,1.05339,0.51832,0.40319,0.42648,0.25873,1.16931,0.88937,1.06322,0.000550382,0.000550382,0.000550382
3,678.879,1.1585,0.88277,1.05672,0.57569,0.38668,0.41995,0.25805,1.15429,0.89782,1.05821,0.000818888,0.000818888,0.000818888
4,905.043,1.13989,0.85229,1.04969,0.47137,0.42784,0.41856,0.26152,1.15665,0.87601,1.05521,0.000812383,0.000812383,0.000812383
5,1132.3,1.12934,0.82619,1.04205,0.55776,0.47526,0.48866,0.29671,1.12503,0.82413,1.042,0.000805511,0.000805511,0.000805511
6,1359.46,1.10485,0.80006,1.03323,0.55056,0.44076,0.45922,0.29175,1.11002,0.81803,1.03635,0.000798639,0.000798639,0.000798639
7,1586.85,1.08065,0.78587,1.0263,0.56115,0.47801,0.4895,0.30449,1.08495,0.79921,1.02577,0.000791767,0.000791767,0.000791767
8,1814.18,1.07181,0.77178,1.01928,0.70871,0.43318,0.51132,0.32525,1.06718,0.78707,1.02127,0.000784894,0.000784894,0.000784894
9,2041.86,1.05744,0.75415,1.01236,0.63348,0.46707,0.53357,0.33439,1.06019,0.76765,1.01757,0.000778022,0.000778022,0.000778022
10,2269.37,1.04532,0.74647,1.00812,0.53481,0.47784,0.49112,0.31412,1.04606,0.77506,1.01296,0.00077115,0.00077115,0.00077115
11,2496.39,1.03433,0.73123,1.0025,0.64692,0.4651,0.52775,0.33665,1.05108,0.76616,1.01228,0.000764278,0.000764278,0.000764278
12,2724.18,1.02835,0.72399,0.9986,0.62019,0.47575,0.51791,0.33289,1.04574,0.75389,1.01486,0.000757405,0.000757405,0.000757405
13,2951.83,1.01658,0.71313,0.99505,0.63946,0.48781,0.53701,0.34316,1.04048,0.7492,1.00756,0.000750533,0.000750533,0.000750533
14,3180.06,1.01028,0.71079,0.99223,0.66535,0.50363,0.55657,0.34709,1.03434,0.73635,1.00564,0.000743661,0.000743661,0.000743661
15,3408.02,1.00424,0.70129,0.98754,0.6472,0.49322,0.54873,0.34993,1.02213,0.72143,1.00099,0.000736788,0.000736788,0.000736788
16,3636.17,1.00113,0.69149,0.98614,0.65065,0.49301,0.54198,0.35088,1.02372,0.7293,1.00043,0.000729916,0.000729916,0.000729916
17,3864.6,0.99342,0.68963,0.98304,0.67155,0.52168,0.57588,0.36638,1.0003,0.70898,0.99413,0.000723044,0.000723044,0.000723044
18,4092.76,0.9787,0.67326,0.97816,0.65117,0.50471,0.54746,0.34584,1.00435,0.72172,0.99327,0.000716172,0.000716172,0.000716172
19,4320.2,0.97817,0.67128,0.97662,0.69222,0.49455,0.56721,0.36818,1.00833,0.71586,0.99207,0.000709299,0.000709299,0.000709299
20,4547.81,0.96921,0.66749,0.97531,0.67497,0.5085,0.56341,0.36729,0.9905,0.7079,0.98979,0.000702427,0.000702427,0.000702427
21,4775.44,0.96779,0.66411,0.97359,0.72145,0.49552,0.56526,0.36626,0.99421,0.70213,0.98785,0.000695555,0.000695555,0.000695555
22,5003.32,0.9627,0.65729,0.9692,0.63192,0.53016,0.56016,0.37182,0.99049,0.68967,0.98508,0.000688683,0.000688683,0.000688683
23,5231.97,0.95675,0.65125,0.96729,0.68065,0.53923,0.59124,0.38475,0.98546,0.69381,0.98561,0.00068181,0.00068181,0.00068181
24,5461.38,0.95922,0.65552,0.96883,0.67819,0.51418,0.5804,0.38331,0.97937,0.69537,0.97953,0.000674938,0.000674938,0.000674938
25,5691.16,0.95,0.64186,0.96112,0.70866,0.54857,0.60679,0.39451,0.97794,0.68037,0.9812,0.000668066,0.000668066,0.000668066
26,5921.76,0.94707,0.64118,0.96444,0.7271,0.54455,0.5982,0.39183,0.98059,0.67759,0.98389,0.000661194,0.000661194,0.000661194
27,6152.2,0.94367,0.6349,0.96061,0.72553,0.52356,0.59787,0.39305,0.97052,0.67381,0.97657,0.000654321,0.000654321,0.000654321
28,6382.36,0.93168,0.62652,0.95361,0.70852,0.53583,0.59678,0.38792,0.97374,0.67915,0.97536,0.000647449,0.000647449,0.000647449
29,6611.04,0.94065,0.63212,0.9571,0.71469,0.52939,0.60544,0.39841,0.97645,0.68421,0.97653,0.000640577,0.000640577,0.000640577
30,6840.44,0.92231,0.6179,0.95233,0.75312,0.50788,0.58381,0.38597,0.96531,0.66956,0.97704,0.000633705,0.000633705,0.000633705
31,7068.87,0.92568,0.6217,0.95436,0.75759,0.52181,0.60491,0.40275,0.96281,0.66749,0.97636,0.000626832,0.000626832,0.000626832
32,7296.8,0.92268,0.61675,0.95317,0.67452,0.57052,0.59238,0.38609,0.96767,0.6654,0.97595,0.00061996,0.00061996,0.00061996
33,7524.82,0.91821,0.61019,0.9504,0.70529,0.56247,0.61556,0.4026,0.9624,0.66144,0.97439,0.000613088,0.000613088,0.000613088
34,7755.39,0.91508,0.60834,0.94567,0.69694,0.57633,0.61617,0.40887,0.95873,0.66074,0.96917,0.000606216,0.000606216,0.000606216
35,8039.05,0.90836,0.60616,0.94513,0.71032,0.54004,0.60624,0.39785,0.95558,0.65306,0.9719,0.000599343,0.000599343,0.000599343
36,8338.86,0.90131,0.5985,0.94545,0.75593,0.53396,0.61822,0.40771,0.95661,0.649,0.97438,0.000592471,0.000592471,0.000592471
37,8636.56,0.90692,0.60003,0.94264,0.75141,0.54715,0.61707,0.41496,0.95401,0.6539,0.96858,0.000585599,0.000585599,0.000585599
38,8933.59,0.89779,0.59181,0.9402,0.70707,0.57033,0.61984,0.40833,0.95508,0.65575,0.96849,0.000578727,0.000578727,0.000578727
39,9229.67,0.89378,0.59245,0.94157,0.75265,0.55527,0.62515,0.41613,0.95693,0.64331,0.97408,0.000571854,0.000571854,0.000571854
40,9525.2,0.88554,0.58722,0.93694,0.68236,0.56362,0.61184,0.40962,0.95654,0.64653,0.97381,0.000564982,0.000564982,0.000564982
41,9820.34,0.88968,0.57786,0.93709,0.68772,0.59754,0.62904,0.41962,0.94385,0.64342,0.96763,0.00055811,0.00055811,0.00055811
42,10117.3,0.88858,0.57941,0.93691,0.73759,0.54512,0.6178,0.41663,0.94824,0.642,0.97062,0.000551238,0.000551238,0.000551238
43,10413.4,0.88841,0.58172,0.93521,0.76312,0.55424,0.63093,0.4223,0.94081,0.63799,0.96386,0.000544365,0.000544365,0.000544365
44,10708.8,0.87846,0.5739,0.93573,0.666,0.58995,0.61725,0.41197,0.94148,0.64088,0.96511,0.000537493,0.000537493,0.000537493
45,11003.8,0.87896,0.57407,0.93339,0.71707,0.5558,0.61957,0.41738,0.94339,0.63835,0.96815,0.000530621,0.000530621,0.000530621
46,11300.9,0.87999,0.56887,0.93287,0.69978,0.56372,0.61796,0.41081,0.93889,0.63548,0.96507,0.000523749,0.000523749,0.000523749
47,11595.7,0.87332,0.56961,0.92976,0.72544,0.58061,0.63046,0.42023,0.93409,0.63172,0.96257,0.000516877,0.000516877,0.000516877
48,11890.8,0.86906,0.5689,0.93235,0.73084,0.56256,0.63312,0.42478,0.93805,0.63019,0.96213,0.000510004,0.000510004,0.000510004
49,12188.3,0.86363,0.55948,0.92794,0.71167,0.56984,0.62147,0.40894,0.93519,0.63699,0.96292,0.000503132,0.000503132,0.000503132
50,12482.8,0.86338,0.55958,0.92509,0.75647,0.54379,0.62542,0.41403,0.93156,0.63063,0.96089,0.00049626,0.00049626,0.00049626
51,12778.3,0.86035,0.55705,0.92406,0.73684,0.54672,0.61902,0.40788,0.93527,0.63022,0.96549,0.000489387,0.000489387,0.000489387
52,13073.4,0.85679,0.54918,0.92409,0.7785,0.56221,0.63842,0.42777,0.92622,0.62643,0.95998,0.000482515,0.000482515,0.000482515
53,13369.6,0.85278,0.55008,0.92514,0.74601,0.58516,0.63714,0.42114,0.93623,0.63065,0.96842,0.000475643,0.000475643,0.000475643
54,13665.3,0.85338,0.55036,0.92448,0.78348,0.54738,0.63017,0.41852,0.9339,0.62394,0.96479,0.000468771,0.000468771,0.000468771
55,13962.4,0.8462,0.54775,0.92137,0.75394,0.5609,0.62729,0.42014,0.93353,0.62318,0.96358,0.000461898,0.000461898,0.000461898
56,14263.8,0.85063,0.54604,0.92004,0.73916,0.57463,0.63553,0.42789,0.93128,0.62882,0.96266,0.000455026,0.000455026,0.000455026
57,14562.9,0.84228,0.54001,0.91806,0.73263,0.56121,0.62793,0.42153,0.92829,0.62643,0.95905,0.000448154,0.000448154,0.000448154
58,14862.6,0.84098,0.53827,0.91712,0.75837,0.55522,0.63436,0.42513,0.92635,0.61971,0.96266,0.000441282,0.000441282,0.000441282
59,15163.8,0.83911,0.53769,0.91833,0.72487,0.56465,0.63837,0.42725,0.93338,0.61974,0.96614,0.000434409,0.000434409,0.000434409
60,15462.4,0.83492,0.53359,0.91534,0.73171,0.56216,0.63208,0.43051,0.92274,0.61818,0.96206,0.000427537,0.000427537,0.000427537
61,15761.4,0.82728,0.52699,0.91551,0.72213,0.57892,0.64844,0.43475,0.92497,0.6143,0.96237,0.000420665,0.000420665,0.000420665
62,16059.4,0.82797,0.52848,0.9122,0.74589,0.57429,0.64279,0.43092,0.92414,0.61923,0.95965,0.000413793,0.000413793,0.000413793
63,16356.8,0.82807,0.52862,0.9122,0.75692,0.57689,0.65084,0.43972,0.92426,0.61284,0.95867,0.00040692,0.00040692,0.00040692
64,16653.9,0.82216,0.52333,0.91088,0.73288,0.59162,0.64249,0.43128,0.92625,0.61698,0.96472,0.000400048,0.000400048,0.000400048
65,16951.7,0.82203,0.51835,0.91087,0.7475,0.58947,0.65396,0.43432,0.92536,0.61578,0.96004,0.000393176,0.000393176,0.000393176
66,17248.9,0.8219,0.52001,0.9107,0.77518,0.53262,0.62881,0.43067,0.92225,0.61508,0.95998,0.000386304,0.000386304,0.000386304
67,17547.3,0.82357,0.52253,0.9111,0.74131,0.56397,0.64736,0.44472,0.92441,0.61391,0.96107,0.000379431,0.000379431,0.000379431
68,17845.1,0.80872,0.50822,0.90617,0.72241,0.56847,0.63605,0.43059,0.92576,0.61638,0.96184,0.000372559,0.000372559,0.000372559
69,18141.3,0.81294,0.5129,0.90582,0.77811,0.54412,0.64347,0.43101,0.9208,0.61593,0.96062,0.000365687,0.000365687,0.000365687
70,18438.4,0.80338,0.50596,0.9007,0.76534,0.58921,0.65744,0.43644,0.92078,0.60728,0.96112,0.000358815,0.000358815,0.000358815
71,18736.3,0.8109,0.50751,0.90408,0.7411,0.57609,0.64064,0.43523,0.92639,0.61366,0.96461,0.000351942,0.000351942,0.000351942
72,19033.4,0.80252,0.50366,0.90146,0.72504,0.5838,0.64718,0.43025,0.92075,0.61168,0.95907,0.00034507,0.00034507,0.00034507
73,19330.8,0.80141,0.5,0.90203,0.77465,0.56113,0.64257,0.43599,0.92094,0.61047,0.96051,0.000338198,0.000338198,0.000338198
74,19626.9,0.79397,0.49803,0.90055,0.80259,0.56667,0.66377,0.4457,0.9197,0.60782,0.96146,0.000331326,0.000331326,0.000331326
75,19924.2,0.79047,0.49583,0.89759,0.74831,0.58045,0.64533,0.43229,0.92315,0.61569,0.9645,0.000324453,0.000324453,0.000324453
76,20222.2,0.79608,0.49087,0.89767,0.75676,0.5789,0.64609,0.43385,0.91723,0.6122,0.96111,0.000317581,0.000317581,0.000317581
77,20519.9,0.78745,0.4924,0.89548,0.76407,0.59228,0.6556,0.44275,0.91668,0.61126,0.95902,0.000310709,0.000310709,0.000310709
78,20817.5,0.79106,0.49124,0.899,0.77228,0.57613,0.65206,0.43984,0.91998,0.61005,0.96176,0.000303837,0.000303837,0.000303837
79,21115.2,0.7873,0.48967,0.89759,0.77809,0.56455,0.64692,0.43083,0.92131,0.6113,0.96338,0.000296964,0.000296964,0.000296964
80,21412.3,0.77952,0.48527,0.89431,0.79781,0.56394,0.64876,0.43526,0.91641,0.61241,0.96296,0.000290092,0.000290092,0.000290092
81,21709.4,0.78383,0.48568,0.89473,0.80259,0.5673,0.64875,0.43247,0.92306,0.61158,0.96484,0.00028322,0.00028322,0.00028322
82,22007.7,0.7732,0.47953,0.89315,0.7923,0.5647,0.65208,0.43213,0.91893,0.61038,0.96419,0.000276348,0.000276348,0.000276348
83,22307,0.77561,0.48057,0.89066,0.74149,0.57246,0.63203,0.42156,0.92607,0.60678,0.9661,0.000269475,0.000269475,0.000269475
84,22603.9,0.77082,0.4732,0.88923,0.78574,0.54528,0.6359,0.4317,0.92637,0.61163,0.96515,0.000262603,0.000262603,0.000262603
85,22901.8,0.77512,0.47657,0.89059,0.81158,0.56143,0.65068,0.43223,0.92114,0.61027,0.96531,0.000255731,0.000255731,0.000255731
86,23198.6,0.75976,0.46905,0.88671,0.73395,0.57614,0.64333,0.4315,0.92205,0.60814,0.96535,0.000248859,0.000248859,0.000248859
87,23496.4,0.76598,0.46929,0.88902,0.76756,0.54533,0.63486,0.41909,0.91971,0.61023,0.96315,0.000241986,0.000241986,0.000241986
88,23793.8,0.76325,0.46689,0.88581,0.74541,0.5756,0.63487,0.42714,0.91861,0.60607,0.96514,0.000235114,0.000235114,0.000235114
89,24091.6,0.75848,0.46578,0.88446,0.76158,0.56811,0.6461,0.42625,0.91643,0.60017,0.96395,0.000228242,0.000228242,0.000228242
90,24389.8,0.75564,0.46382,0.88564,0.7499,0.57825,0.65063,0.43845,0.91788,0.60923,0.96459,0.00022137,0.00022137,0.00022137
91,24687.1,0.75862,0.46271,0.88623,0.75581,0.58874,0.65123,0.43494,0.9187,0.60899,0.96331,0.000214497,0.000214497,0.000214497
92,24985.5,0.75706,0.46446,0.88549,0.71162,0.61166,0.65328,0.42864,0.9187,0.61137,0.96371,0.000207625,0.000207625,0.000207625
93,25284.1,0.74907,0.45566,0.88086,0.72277,0.59603,0.65303,0.43943,0.90985,0.60987,0.95996,0.000200753,0.000200753,0.000200753
94,25582.2,0.74551,0.45509,0.88011,0.75856,0.5735,0.6446,0.42838,0.91347,0.60728,0.96135,0.000193881,0.000193881,0.000193881
95,25881.3,0.74331,0.45302,0.87935,0.7796,0.57653,0.64832,0.43527,0.91399,0.60865,0.96278,0.000187008,0.000187008,0.000187008
96,26180,0.74538,0.45472,0.87973,0.73334,0.59283,0.65286,0.43614,0.91399,0.60629,0.96247,0.000180136,0.000180136,0.000180136
97,26478.5,0.74212,0.45044,0.87923,0.77945,0.55651,0.64855,0.43755,0.91277,0.60741,0.96291,0.000173264,0.000173264,0.000173264
98,26776.5,0.73408,0.44436,0.87602,0.78527,0.57207,0.65768,0.43071,0.91323,0.60627,0.96329,0.000166392,0.000166392,0.000166392
99,27075.1,0.73662,0.44694,0.87716,0.7881,0.55564,0.64472,0.42783,0.91469,0.6095,0.96453,0.00015952,0.00015952,0.00015952
100,27375.2,0.7338,0.44399,0.87688,0.80295,0.55612,0.6501,0.43349,0.91459,0.60637,0.96388,0.000152647,0.000152647,0.000152647
101,27673.9,0.73399,0.44284,0.87658,0.76555,0.58123,0.65435,0.43309,0.91447,0.6062,0.96289,0.000145775,0.000145775,0.000145775
102,27972.1,0.72512,0.43839,0.87461,0.77269,0.58155,0.64989,0.42987,0.91395,0.60445,0.96329,0.000138903,0.000138903,0.000138903
103,28269.6,0.72672,0.43926,0.87461,0.80716,0.57298,0.65755,0.43423,0.9137,0.60337,0.96185,0.000132031,0.000132031,0.000132031
104,28567.5,0.73051,0.43929,0.87416,0.80817,0.56337,0.65951,0.43617,0.91437,0.60367,0.9637,0.000125158,0.000125158,0.000125158
105,28866,0.7242,0.43727,0.87319,0.74441,0.59805,0.65256,0.43152,0.91235,0.60592,0.96388,0.000118286,0.000118286,0.000118286
106,29165.2,0.72024,0.43223,0.87194,0.77039,0.58691,0.66026,0.43466,0.91176,0.60697,0.96466,0.000111414,0.000111414,0.000111414
107,29464.2,0.71557,0.43037,0.87094,0.74686,0.58563,0.64974,0.42778,0.91607,0.60744,0.96446,0.000104542,0.000104542,0.000104542
108,29762.7,0.71469,0.42741,0.87049,0.77892,0.56625,0.6516,0.4325,0.91305,0.60323,0.96421,9.76692e-05,9.76692e-05,9.76692e-05
109,30061.9,0.71525,0.42709,0.87049,0.7441,0.59017,0.6541,0.43407,0.91859,0.60539,0.96533,9.0797e-05,9.0797e-05,9.0797e-05
110,30359.9,0.71662,0.42863,0.87033,0.78024,0.55829,0.64689,0.43131,0.91615,0.60744,0.96443,8.39248e-05,8.39248e-05,8.39248e-05
111,30697.7,0.72024,0.42455,0.86752,0.70215,0.61182,0.65064,0.43106,0.91895,0.61148,0.96615,7.70525e-05,7.70525e-05,7.70525e-05
112,30992.5,0.71311,0.42008,0.86554,0.75544,0.58202,0.65502,0.43227,0.9189,0.61021,0.96513,7.01802e-05,7.01802e-05,7.01802e-05
113,31288.2,0.70828,0.416,0.86497,0.74957,0.58949,0.65172,0.43123,0.91872,0.61152,0.96755,6.3308e-05,6.3308e-05,6.3308e-05
114,31584.5,0.70527,0.4154,0.86322,0.77035,0.56387,0.64495,0.42757,0.91707,0.61119,0.96657,5.64358e-05,5.64358e-05,5.64358e-05
115,31880,0.70279,0.41339,0.86077,0.78683,0.54928,0.64081,0.4274,0.91829,0.61294,0.96689,4.95635e-05,4.95635e-05,4.95635e-05
116,32177.1,0.70017,0.41016,0.86116,0.76926,0.56668,0.6501,0.43084,0.91731,0.61044,0.96559,4.26912e-05,4.26912e-05,4.26912e-05
117,32472.2,0.69741,0.40722,0.85853,0.7784,0.56985,0.6494,0.42816,0.91604,0.61211,0.96513,3.5819e-05,3.5819e-05,3.5819e-05
118,32768.9,0.69767,0.40961,0.85896,0.78484,0.55558,0.64643,0.42475,0.9166,0.61376,0.96554,2.89468e-05,2.89468e-05,2.89468e-05
119,33064.4,0.69355,0.40563,0.85735,0.80898,0.54598,0.64645,0.42654,0.91721,0.61192,0.96661,2.20745e-05,2.20745e-05,2.20745e-05
120,33360.3,0.69943,0.40792,0.85931,0.74958,0.58288,0.64981,0.42959,0.91706,0.61246,0.96629,1.52022e-05,1.52022e-05,1.52022e-05
