epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.485,1.11394,1.04574,1.0268,0.50853,0.37802,0.40352,0.252,1.18376,0.9113,1.05901,0.000277293,0.000277293,0.000277293
2,441.407,1.1897,0.91687,1.07137,0.4807,0.36469,0.37433,0.22596,1.23973,0.95111,1.10246,0.000552213,0.000552213,0.000552213
3,667.821,1.19523,0.92088,1.07406,0.5677,0.35466,0.39555,0.23605,1.20698,0.94364,1.08282,0.000824384,0.000824384,0.000824384
4,899.297,1.17239,0.88041,1.06536,0.48793,0.40561,0.41922,0.26369,1.16124,0.88588,1.06484,0.00082063,0.00082063,0.00082063
5,1153.33,1.15689,0.85396,1.05736,0.49894,0.39062,0.39063,0.24205,1.17837,0.88836,1.06734,0.000816507,0.000816507,0.000816507
6,1407.47,1.13849,0.83769,1.04707,0.51678,0.41535,0.42162,0.26476,1.14815,0.8507,1.05886,0.000812383,0.000812383,0.000812383
7,1661.67,1.11838,0.81887,1.04335,0.57888,0.423,0.4449,0.28096,1.12407,0.83944,1.04905,0.00080826,0.00080826,0.00080826
8,1915.48,1.11001,0.80297,1.03469,0.5888,0.43436,0.4436,0.28138,1.12863,0.82472,1.04713,0.000804137,0.000804137,0.000804137
9,2170.38,1.09395,0.7871,1.02752,0.56265,0.4603,0.4715,0.29965,1.08974,0.80852,1.02857,0.000800013,0.000800013,0.000800013
10,2424.51,1.07854,0.77873,1.01987,0.54973,0.46342,0.46343,0.29919,1.0973,0.80362,1.02887,0.00079589,0.00079589,0.00079589
11,2678.7,1.07286,0.76457,1.01705,0.55539,0.44379,0.474,0.29985,1.0892,0.79346,1.0304,0.000791767,0.000791767,0.000791767
12,2932.62,1.05991,0.75257,1.01198,0.59828,0.45548,0.49333,0.31554,1.08926,0.78363,1.02609,0.000787643,0.000787643,0.000787643
13,3187.36,1.05391,0.74402,1.00928,0.55684,0.46125,0.48413,0.31341,1.08329,0.79209,1.02567,0.00078352,0.00078352,0.00078352
14,3441.85,1.04811,0.74127,1.00727,0.62045,0.43852,0.50368,0.3178,1.06847,0.78233,1.02345,0.000779396,0.000779396,0.000779396
15,3696.49,1.03528,0.72935,0.99934,0.60758,0.47663,0.50888,0.32103,1.06562,0.75549,1.01665,0.000775273,0.000775273,0.000775273
16,3950.63,1.03325,0.7218,0.99818,0.66877,0.47933,0.52478,0.3333,1.0564,0.74913,1.0138,0.00077115,0.00077115,0.00077115
17,4204.79,1.02924,0.72153,0.99748,0.66913,0.47023,0.54203,0.34583,1.03771,0.73904,1.00293,0.000767026,0.000767026,0.000767026
18,4458.87,1.01435,0.70447,0.99137,0.69427,0.41811,0.50904,0.32729,1.05136,0.75414,1.01125,0.000762903,0.000762903,0.000762903
19,4713.16,1.01203,0.70104,0.98941,0.56147,0.48946,0.50474,0.32495,1.04884,0.75004,1.01021,0.00075878,0.00075878,0.00075878
20,4971.02,1.00873,0.70146,0.99048,0.62044,0.48484,0.51574,0.33925,1.0403,0.74946,1.00421,0.000754656,0.000754656,0.000754656
21,5227.35,1.00028,0.68841,0.98682,0.68609,0.48119,0.54349,0.34566,1.02798,0.73158,0.99853,0.000750533,0.000750533,0.000750533
22,5484.11,0.99991,0.68976,0.98317,0.64898,0.4887,0.53332,0.34828,1.03266,0.73028,1.00201,0.00074641,0.00074641,0.00074641
23,5742.46,0.99689,0.68346,0.9829,0.65089,0.51644,0.55339,0.35313,1.04002,0.72233,1.00646,0.000742286,0.000742286,0.000742286
24,5999.06,0.994,0.6854,0.98116,0.67874,0.46311,0.54193,0.35367,1.02482,0.72307,0.99864,0.000738163,0.000738163,0.000738163
25,6256.35,0.98827,0.67412,0.97461,0.67348,0.5124,0.56355,0.37414,1.01568,0.7109,0.99543,0.00073404,0.00073404,0.00073404
26,6514.99,0.9868,0.67485,0.97898,0.72652,0.47916,0.55476,0.36115,1.02603,0.71637,1.00162,0.000729916,0.000729916,0.000729916
27,6771.56,0.98311,0.66827,0.97604,0.71996,0.48978,0.57486,0.37285,1.00475,0.70197,0.98932,0.000725793,0.000725793,0.000725793
28,7028.89,0.96838,0.65731,0.96755,0.68305,0.51497,0.56795,0.37213,1.00936,0.70612,0.9913,0.00072167,0.00072167,0.00072167
29,7286.95,0.97765,0.65862,0.97161,0.67264,0.51153,0.57298,0.36782,1.00848,0.71052,0.99056,0.000717546,0.000717546,0.000717546
30,7545.65,0.9593,0.65156,0.96565,0.6821,0.50219,0.54585,0.35714,1.00808,0.71364,0.99164,0.000713423,0.000713423,0.000713423
31,7803.62,0.96283,0.65338,0.96747,0.77727,0.48308,0.57712,0.37264,1.00672,0.69816,0.98932,0.000709299,0.000709299,0.000709299
32,8061.22,0.96035,0.65034,0.96749,0.68958,0.51137,0.5668,0.37447,0.99484,0.6998,0.98815,0.000705176,0.000705176,0.000705176
33,8319.12,0.95561,0.64363,0.9631,0.67682,0.50231,0.56801,0.37133,1.00171,0.69909,0.98938,0.000701053,0.000701053,0.000701053
34,8578.11,0.95802,0.64344,0.96264,0.68391,0.52388,0.57737,0.37597,1.00671,0.69494,0.99307,0.000696929,0.000696929,0.000696929
35,8835.21,0.94756,0.63734,0.96217,0.66535,0.52228,0.5769,0.3848,0.99095,0.68282,0.98921,0.000692806,0.000692806,0.000692806
36,9096.17,0.941,0.63108,0.96191,0.72654,0.49539,0.58192,0.38114,0.99202,0.68612,0.98266,0.000688683,0.000688683,0.000688683
37,9354.11,0.94514,0.63423,0.95833,0.71722,0.54108,0.59676,0.39451,0.98493,0.67722,0.98216,0.000684559,0.000684559,0.000684559
38,9612.11,0.93595,0.62161,0.95467,0.72749,0.50561,0.57827,0.38272,0.98708,0.68162,0.98273,0.000680436,0.000680436,0.000680436
39,9870.19,0.93535,0.62512,0.95649,0.73345,0.5046,0.57233,0.37866,0.98748,0.67737,0.98405,0.000676313,0.000676313,0.000676313
40,10128.4,0.92693,0.62048,0.95203,0.67116,0.55613,0.59254,0.38568,0.99294,0.68747,0.99027,0.000672189,0.000672189,0.000672189
41,10389.7,0.92989,0.61417,0.9523,0.67885,0.54294,0.5872,0.38825,0.98992,0.6775,0.98655,0.000668066,0.000668066,0.000668066
42,10652.5,0.92642,0.6149,0.9509,0.7139,0.55371,0.59559,0.39276,0.97661,0.67421,0.97767,0.000663943,0.000663943,0.000663943
43,10916.2,0.9314,0.61592,0.95151,0.68567,0.52054,0.57901,0.38797,0.9717,0.66836,0.97561,0.000659819,0.000659819,0.000659819
44,11178.5,0.91909,0.60899,0.94935,0.69989,0.51732,0.58101,0.39341,0.97293,0.67541,0.97495,0.000655696,0.000655696,0.000655696
45,11441.1,0.91783,0.6073,0.94748,0.71391,0.51313,0.59079,0.39373,0.97949,0.66992,0.97862,0.000651573,0.000651573,0.000651573
46,11688.7,0.9225,0.60493,0.94628,0.69472,0.52744,0.59137,0.39627,0.97157,0.66746,0.97693,0.000647449,0.000647449,0.000647449
47,11932.8,0.91665,0.60701,0.94422,0.73648,0.51512,0.59083,0.39281,0.97068,0.66835,0.97559,0.000643326,0.000643326,0.000643326
48,12177.4,0.90964,0.60139,0.9483,0.71749,0.51411,0.57923,0.39079,0.97672,0.666,0.97963,0.000639203,0.000639203,0.000639203
49,12419.7,0.91182,0.59987,0.94443,0.71508,0.52512,0.59299,0.403,0.96271,0.65569,0.97653,0.000635079,0.000635079,0.000635079
50,12663.1,0.90489,0.59118,0.9417,0.72725,0.54142,0.59741,0.40345,0.96433,0.66523,0.9776,0.000630956,0.000630956,0.000630956
51,12907,0.90278,0.59301,0.93917,0.75344,0.52908,0.60438,0.4105,0.96335,0.65877,0.97648,0.000626832,0.000626832,0.000626832
52,13149.7,0.90534,0.59079,0.94106,0.74611,0.51607,0.59521,0.40528,0.96376,0.6574,0.97427,0.000622709,0.000622709,0.000622709
53,13393.1,0.90259,0.59231,0.94104,0.70984,0.55718,0.59735,0.40841,0.97216,0.65902,0.97943,0.000618586,0.000618586,0.000618586
