epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.183,1.11049,1.03433,1.02316,0.55271,0.37019,0.40897,0.24992,1.18818,0.90617,1.0642,0.000277293,0.000277293,0.000277293
2,448.93,1.18142,0.90846,1.06551,0.54653,0.36716,0.40101,0.24719,1.19935,0.92108,1.07371,0.000550382,0.000550382,0.000550382
3,675.974,1.19649,0.91709,1.07235,0.50374,0.3963,0.39389,0.23293,1.22931,0.94369,1.09091,0.000818888,0.000818888,0.000818888
4,906.154,1.18543,0.89042,1.06796,0.48403,0.37822,0.40925,0.25227,1.18665,0.90795,1.07735,0.000812383,0.000812383,0.000812383
5,1136.87,1.1614,0.84986,1.05487,0.52581,0.39356,0.40807,0.25043,1.18266,0.88232,1.0639,0.000805511,0.000805511,0.000805511
6,1367.84,1.13973,0.82834,1.04648,0.52928,0.41615,0.43349,0.27246,1.14025,0.83842,1.05155,0.000798639,0.000798639,0.000798639
7,1601.08,1.11656,0.81427,1.04177,0.55612,0.41519,0.44004,0.2739,1.13647,0.85735,1.05086,0.000791767,0.000791767,0.000791767
8,1835.14,1.10763,0.79703,1.03143,0.63227,0.46072,0.50943,0.31351,1.10953,0.81349,1.03669,0.000784894,0.000784894,0.000784894
9,2072.59,1.08464,0.77586,1.02373,0.50259,0.44491,0.47439,0.29728,1.09301,0.81228,1.03282,0.000778022,0.000778022,0.000778022
10,2310.82,1.07515,0.76825,1.0188,0.65581,0.4357,0.47468,0.29679,1.10483,0.82226,1.03727,0.00077115,0.00077115,0.00077115
11,2584.79,1.06492,0.75752,1.01396,0.63482,0.49106,0.51468,0.31754,1.08948,0.78558,1.02643,0.000764278,0.000764278,0.000764278
12,2875.63,1.05484,0.74584,1.01083,0.6472,0.45785,0.51543,0.32934,1.08223,0.79024,1.02511,0.000757405,0.000757405,0.000757405
13,3163.09,1.04766,0.73576,1.0075,0.65526,0.45256,0.52689,0.33219,1.0607,0.77296,1.01226,0.000750533,0.000750533,0.000750533
