epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.215,1.11952,1.04212,1.02725,0.48059,0.3782,0.38735,0.23415,1.1881,0.93614,1.0692,0.000277293,0.000277293,0.000277293
2,446.318,1.18764,0.91466,1.06768,0.59247,0.36716,0.40234,0.24583,1.20479,0.95307,1.08136,0.000550382,0.000550382,0.000550382
3,675.475,1.20647,0.9184,1.07936,0.48522,0.39132,0.39122,0.23479,1.21496,0.94768,1.08663,0.000818888,0.000818888,0.000818888
4,907.829,1.18174,0.8866,1.06815,0.52591,0.39233,0.42003,0.25687,1.18775,0.89765,1.07476,0.000812383,0.000812383,0.000812383
5,1160.39,1.16677,0.85604,1.05935,0.53942,0.40401,0.41449,0.24678,1.19968,0.88444,1.07044,0.000805511,0.000805511,0.000805511
6,1394.39,1.14085,0.83047,1.04648,0.56738,0.43347,0.43634,0.27325,1.14239,0.83875,1.05177,0.000798639,0.000798639,0.000798639
7,1630.2,1.11985,0.81502,1.04289,0.61766,0.40635,0.4647,0.2882,1.14189,0.84534,1.05662,0.000791767,0.000791767,0.000791767
8,1866.83,1.11178,0.79947,1.03341,0.63217,0.45952,0.48778,0.30376,1.12932,0.82207,1.03697,0.000784894,0.000784894,0.000784894
9,2104.01,1.09357,0.78231,1.027,0.55009,0.45303,0.47693,0.29974,1.09617,0.81372,1.02905,0.000778022,0.000778022,0.000778022
10,2341.02,1.07932,0.77422,1.02278,0.59425,0.44437,0.48683,0.30479,1.09965,0.8093,1.03191,0.00077115,0.00077115,0.00077115
11,2577.84,1.07071,0.76093,1.01742,0.64787,0.43881,0.49622,0.31083,1.09258,0.78765,1.02721,0.000764278,0.000764278,0.000764278
12,2815.7,1.06056,0.75058,1.01297,0.64561,0.48651,0.52758,0.32953,1.07578,0.78451,1.0216,0.000757405,0.000757405,0.000757405
13,3067.3,1.0542,0.73795,1.00968,0.62574,0.46438,0.50906,0.31467,1.08038,0.77429,1.02007,0.000750533,0.000750533,0.000750533
14,3328.08,1.04854,0.73868,1.00575,0.58954,0.4823,0.51065,0.32354,1.07138,0.77623,1.01951,0.000743661,0.000743661,0.000743661
15,3590.25,1.04204,0.72888,1.00235,0.64232,0.46554,0.51035,0.32193,1.07235,0.76154,1.019,0.000736788,0.000736788,0.000736788
16,3857.79,1.03729,0.72266,0.99857,0.61166,0.49783,0.52968,0.33688,1.06774,0.75897,1.01428,0.000729916,0.000729916,0.000729916
17,4125.84,1.02912,0.71754,0.99659,0.65951,0.47135,0.53239,0.34143,1.04914,0.74979,1.01141,0.000723044,0.000723044,0.000723044
18,4388.14,1.01787,0.70022,0.99288,0.61877,0.47554,0.50822,0.33136,1.06678,0.76367,1.0174,0.000716172,0.000716172,0.000716172
19,4666.66,1.01235,0.69465,0.98896,0.66552,0.47874,0.53057,0.34798,1.04395,0.74169,1.00217,0.000709299,0.000709299,0.000709299
20,4936.65,1.00934,0.69595,0.99061,0.62589,0.50292,0.53429,0.34641,1.03292,0.73651,1.00406,0.000702427,0.000702427,0.000702427
21,5197.27,1.00531,0.68763,0.98681,0.68433,0.46775,0.54275,0.34704,1.04341,0.73981,1.00342,0.000695555,0.000695555,0.000695555
22,5467.08,0.99812,0.68139,0.98275,0.68698,0.49482,0.55934,0.35458,1.03245,0.73215,1.00076,0.000688683,0.000688683,0.000688683
23,5764.11,0.99027,0.6754,0.97968,0.68071,0.51142,0.56006,0.35109,1.03617,0.73382,1.00053,0.00068181,0.00068181,0.00068181
24,6028.34,0.99126,0.67542,0.98031,0.66062,0.46987,0.53583,0.34126,1.03323,0.73834,1.00675,0.000674938,0.000674938,0.000674938
25,6278.84,0.98628,0.66785,0.97449,0.65088,0.49445,0.54068,0.34942,1.02383,0.72271,0.99971,0.000668066,0.000668066,0.000668066
26,6526.86,0.98062,0.66564,0.97734,0.66708,0.50691,0.5628,0.37053,1.02187,0.71872,0.9962,0.000661194,0.000661194,0.000661194
27,6772.76,0.97883,0.66207,0.97348,0.71595,0.52889,0.58117,0.37523,1.01698,0.71224,0.99571,0.000654321,0.000654321,0.000654321
28,7021.53,0.96678,0.65211,0.96718,0.70172,0.51538,0.57914,0.36781,1.01098,0.70654,0.99203,0.000647449,0.000647449,0.000647449
29,7274.69,0.97127,0.65261,0.96901,0.62981,0.53117,0.56749,0.3685,1.01325,0.70923,0.99225,0.000640577,0.000640577,0.000640577
30,7526.37,0.95302,0.64071,0.96315,0.68596,0.51692,0.56765,0.36251,1.00873,0.69939,0.98907,0.000633705,0.000633705,0.000633705
31,7776.21,0.95433,0.63986,0.96502,0.75334,0.47461,0.57307,0.36816,1.00477,0.70547,0.99101,0.000626832,0.000626832,0.000626832
32,8023.02,0.95563,0.64175,0.96464,0.66671,0.5051,0.55514,0.35591,1.00431,0.70875,0.99154,0.00061996,0.00061996,0.00061996
33,8269.86,0.95037,0.63261,0.9621,0.71165,0.50792,0.57742,0.37486,1.0032,0.69962,0.98965,0.000613088,0.000613088,0.000613088
34,8515.86,0.94622,0.63062,0.95811,0.65652,0.50486,0.55727,0.35651,1.0019,0.70095,0.98598,0.000606216,0.000606216,0.000606216
35,8760.91,0.93881,0.62871,0.95658,0.72047,0.50283,0.5816,0.3694,0.99566,0.69264,0.98567,0.000599343,0.000599343,0.000599343
36,9005.86,0.93255,0.62177,0.95726,0.72347,0.50771,0.57605,0.37191,0.99642,0.69039,0.98582,0.000592471,0.000592471,0.000592471
37,9249.56,0.93917,0.62381,0.95444,0.73494,0.49253,0.57731,0.37745,0.99258,0.68666,0.98385,0.000585599,0.000585599,0.000585599
38,9493.79,0.9298,0.6157,0.95147,0.66489,0.50978,0.56277,0.36518,1.00006,0.69825,0.98452,0.000578727,0.000578727,0.000578727
39,9736.88,0.92628,0.61421,0.95348,0.64498,0.5144,0.56058,0.3725,0.9904,0.69115,0.98403,0.000571854,0.000571854,0.000571854
40,9980,0.91761,0.60954,0.9477,0.66254,0.56379,0.59738,0.39203,0.98968,0.68129,0.98238,0.000564982,0.000564982,0.000564982
41,10223.3,0.92295,0.60418,0.94894,0.7268,0.53121,0.60112,0.40129,0.98121,0.67578,0.97944,0.00055811,0.00055811,0.00055811
42,10489.8,0.91738,0.59969,0.94662,0.68307,0.5356,0.58741,0.38184,0.98586,0.67849,0.98482,0.000551238,0.000551238,0.000551238
43,10730.5,0.92097,0.60171,0.94837,0.70554,0.52887,0.59295,0.39032,0.98318,0.67839,0.97939,0.000544365,0.000544365,0.000544365
44,10972.4,0.90843,0.59633,0.94666,0.71772,0.52149,0.5934,0.38151,0.98351,0.67661,0.98115,0.000537493,0.000537493,0.000537493
45,11215,0.91104,0.59634,0.94461,0.68084,0.53238,0.58672,0.38544,0.97604,0.67148,0.97699,0.000530621,0.000530621,0.000530621
46,11457.3,0.90806,0.59018,0.94248,0.68114,0.52776,0.59474,0.39075,0.9765,0.67149,0.97781,0.000523749,0.000523749,0.000523749
47,11700.1,0.90429,0.58846,0.94087,0.69267,0.54513,0.60185,0.39642,0.97281,0.6659,0.97812,0.000516877,0.000516877,0.000516877
48,11942.4,0.89553,0.58655,0.94344,0.69277,0.5216,0.59074,0.38713,0.98324,0.6711,0.98093,0.000510004,0.000510004,0.000510004
49,12185.4,0.89797,0.58191,0.94066,0.73906,0.51819,0.59597,0.3924,0.97544,0.66956,0.97722,0.000503132,0.000503132,0.000503132
50,12427.5,0.89566,0.57746,0.93832,0.6721,0.54374,0.59584,0.39081,0.97864,0.6736,0.97787,0.00049626,0.00049626,0.00049626
51,12669.9,0.89238,0.57673,0.93409,0.65718,0.52946,0.58114,0.38292,0.97172,0.66865,0.97748,0.000489387,0.000489387,0.000489387
52,12912.1,0.88985,0.57465,0.93588,0.71082,0.54827,0.60984,0.40018,0.96853,0.66357,0.97714,0.000482515,0.000482515,0.000482515
53,13154.3,0.88146,0.5688,0.93498,0.77438,0.51671,0.60259,0.39446,0.97569,0.66215,0.97903,0.000475643,0.000475643,0.000475643
54,13395.5,0.885,0.57173,0.93595,0.73805,0.51943,0.59129,0.3853,0.97137,0.66307,0.9742,0.000468771,0.000468771,0.000468771
55,13637.2,0.87846,0.56769,0.93254,0.70133,0.53203,0.59429,0.39581,0.97082,0.65691,0.97362,0.000461898,0.000461898,0.000461898
56,13878.6,0.88239,0.56481,0.93093,0.69631,0.52566,0.59223,0.39106,0.97081,0.6567,0.97568,0.000455026,0.000455026,0.000455026
57,14120.9,0.8702,0.56021,0.92664,0.71948,0.51154,0.58997,0.39236,0.96625,0.65709,0.97618,0.000448154,0.000448154,0.000448154
58,14362.9,0.87192,0.55989,0.92781,0.68698,0.53626,0.58248,0.38421,0.96909,0.65771,0.97852,0.000441282,0.000441282,0.000441282
59,14604.3,0.86752,0.55558,0.92809,0.69229,0.54498,0.60216,0.39199,0.96545,0.65079,0.97702,0.000434409,0.000434409,0.000434409
60,14846.1,0.8673,0.55322,0.92586,0.74778,0.53668,0.60652,0.39509,0.9616,0.65345,0.97201,0.000427537,0.000427537,0.000427537
61,15088.1,0.85977,0.54647,0.92504,0.71506,0.5187,0.59005,0.3925,0.9628,0.65032,0.97173,0.000420665,0.000420665,0.000420665
62,15349.2,0.85779,0.54801,0.92186,0.77394,0.52631,0.61372,0.39835,0.9574,0.65036,0.97021,0.000413793,0.000413793,0.000413793
63,15591,0.8561,0.54749,0.9221,0.73299,0.53246,0.61082,0.4107,0.96263,0.64418,0.97463,0.00040692,0.00040692,0.00040692
64,15832.7,0.85736,0.54472,0.92269,0.73018,0.55377,0.61625,0.40115,0.96004,0.65377,0.97445,0.000400048,0.000400048,0.000400048
65,16074.4,0.85252,0.53833,0.92011,0.7286,0.54383,0.60732,0.40411,0.96,0.64855,0.97175,0.000393176,0.000393176,0.000393176
66,16316.6,0.85348,0.54079,0.92019,0.76142,0.53795,0.61593,0.40688,0.96336,0.64912,0.97597,0.000386304,0.000386304,0.000386304
67,16557.8,0.85251,0.54132,0.91912,0.75716,0.52827,0.61516,0.40892,0.96013,0.64294,0.97526,0.000379431,0.000379431,0.000379431
68,16799.3,0.83933,0.52836,0.91585,0.74006,0.54896,0.61927,0.40892,0.96497,0.6452,0.97649,0.000372559,0.000372559,0.000372559
69,17040.1,0.84257,0.53296,0.91376,0.76617,0.51937,0.60682,0.39765,0.96291,0.64581,0.97566,0.000365687,0.000365687,0.000365687
70,17282.8,0.8354,0.52543,0.91033,0.79278,0.52356,0.62299,0.41254,0.96774,0.64352,0.97578,0.000358815,0.000358815,0.000358815
71,17524.1,0.84027,0.52587,0.91412,0.71943,0.56526,0.62241,0.40423,0.95856,0.64184,0.97331,0.000351942,0.000351942,0.000351942
72,17766,0.8318,0.52021,0.91166,0.72494,0.55365,0.61653,0.40118,0.96795,0.64422,0.97913,0.00034507,0.00034507,0.00034507
73,18007.6,0.83,0.51778,0.91115,0.72971,0.57513,0.63057,0.41225,0.96019,0.64263,0.97666,0.000338198,0.000338198,0.000338198
