epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.848,1.10459,1.02817,1.01985,0.57398,0.37612,0.41233,0.2528,1.1546,0.90518,1.05458,0.000277293,0.000277293,0.000277293
2,482.91,1.17184,0.90034,1.06015,0.49128,0.38262,0.40298,0.25033,1.1881,0.93414,1.07363,0.000550382,0.000550382,0.000550382
3,733.826,1.19018,0.9127,1.07078,0.48042,0.41823,0.40661,0.24652,1.18559,0.90414,1.07013,0.000818888,0.000818888,0.000818888
4,977.296,1.1686,0.87183,1.06253,0.49152,0.41365,0.41418,0.25058,1.18767,0.91133,1.07398,0.000812383,0.000812383,0.000812383
5,1221.26,1.15787,0.84523,1.05366,0.5023,0.39904,0.40341,0.2457,1.17099,0.86445,1.06144,0.000805511,0.000805511,0.000805511
6,1464.88,1.12624,0.82504,1.04281,0.59692,0.42244,0.46347,0.28411,1.13677,0.84484,1.04695,0.000798639,0.000798639,0.000798639
7,1709.13,1.10605,0.80272,1.03661,0.57898,0.3904,0.4503,0.28114,1.12877,0.84407,1.04565,0.000791767,0.000791767,0.000791767
8,1954.05,1.09783,0.79463,1.02987,0.63162,0.43845,0.47831,0.29564,1.11396,0.82045,1.03923,0.000784894,0.000784894,0.000784894
9,2198.52,1.08368,0.77438,1.02297,0.68915,0.41182,0.47658,0.29648,1.10069,0.80693,1.03305,0.000778022,0.000778022,0.000778022
10,2442.62,1.06545,0.76019,1.0151,0.54897,0.46751,0.48632,0.30842,1.08601,0.7887,1.0246,0.00077115,0.00077115,0.00077115
11,2686.74,1.05797,0.74847,1.01202,0.57206,0.44335,0.49262,0.30776,1.09763,0.78731,1.02928,0.000764278,0.000764278,0.000764278
12,2930.41,1.05235,0.74242,1.00919,0.6064,0.44928,0.49791,0.31714,1.06705,0.77385,1.0243,0.000757405,0.000757405,0.000757405
13,3174.9,1.04067,0.73119,1.0053,0.58378,0.47746,0.50756,0.31908,1.06336,0.77108,1.01485,0.000750533,0.000750533,0.000750533
14,3418.9,1.03431,0.72427,1.0018,0.56814,0.48904,0.50343,0.32076,1.06061,0.76425,1.0184,0.000743661,0.000743661,0.000743661
15,3663.12,1.02496,0.71239,0.99488,0.62826,0.46683,0.50181,0.32779,1.05119,0.74663,1.00943,0.000736788,0.000736788,0.000736788
16,3906.48,1.02832,0.71461,0.99515,0.63199,0.49508,0.52344,0.33517,1.05115,0.76178,1.00513,0.000729916,0.000729916,0.000729916
17,4150.83,1.02041,0.7083,0.99248,0.58343,0.4751,0.52323,0.33504,1.03647,0.75124,1.00065,0.000723044,0.000723044,0.000723044
18,4395.22,0.9984,0.68886,0.98516,0.69957,0.45064,0.5264,0.33933,1.04459,0.75707,1.01147,0.000716172,0.000716172,0.000716172
19,4639.49,0.9967,0.68575,0.98288,0.69117,0.47678,0.5468,0.3512,1.04455,0.73621,1.00399,0.000709299,0.000709299,0.000709299
20,4883.27,0.99527,0.6865,0.98389,0.6995,0.49246,0.56047,0.36134,1.01622,0.72473,0.99535,0.000702427,0.000702427,0.000702427
