epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.409,1.0952,1.02614,1.02026,0.54436,0.38078,0.4198,0.26754,1.14131,0.88378,1.05066,0.000277293,0.000277293,0.000277293
2,453.914,1.17152,0.90089,1.06402,0.60139,0.3824,0.40932,0.24678,1.18198,0.89615,1.072,0.000550382,0.000550382,0.000550382
3,685.976,1.17953,0.90202,1.06761,0.52548,0.4158,0.43249,0.25745,1.19559,0.9203,1.07442,0.000818888,0.000818888,0.000818888
4,921.502,1.15938,0.87137,1.05933,0.52153,0.42,0.44371,0.28024,1.14823,0.86465,1.05884,0.000812383,0.000812383,0.000812383
5,1158.72,1.13992,0.83766,1.04892,0.53893,0.40005,0.41833,0.2622,1.1597,0.86347,1.05327,0.000805511,0.000805511,0.000805511
6,1395.84,1.11799,0.81494,1.03694,0.60742,0.46491,0.45997,0.29173,1.12369,0.82457,1.04818,0.000798639,0.000798639,0.000798639
7,1633.99,1.10028,0.80116,1.03667,0.54499,0.42235,0.46551,0.29771,1.10793,0.81943,1.0365,0.000791767,0.000791767,0.000791767
8,1872.04,1.09252,0.78924,1.02667,0.63078,0.44651,0.48676,0.30972,1.0962,0.80468,1.0281,0.000784894,0.000784894,0.000784894
9,2111.13,1.07035,0.76557,1.01806,0.54818,0.47587,0.48356,0.30698,1.08479,0.79417,1.02697,0.000778022,0.000778022,0.000778022
10,2350.39,1.05568,0.7567,1.01332,0.52578,0.4425,0.45615,0.29585,1.07333,0.80021,1.02438,0.00077115,0.00077115,0.00077115
11,2590.72,1.04768,0.73968,1.00843,0.66942,0.45852,0.52246,0.3236,1.08617,0.76507,1.0278,0.000764278,0.000764278,0.000764278
12,2828.48,1.04058,0.73224,1.00672,0.62392,0.45887,0.5021,0.32669,1.05878,0.7551,1.00979,0.000757405,0.000757405,0.000757405
13,3067.43,1.02984,0.72276,1.00086,0.68805,0.45167,0.51702,0.33001,1.05297,0.76269,1.01577,0.000750533,0.000750533,0.000750533
14,3307.3,1.02966,0.72331,1.00042,0.6093,0.45703,0.50391,0.32102,1.04774,0.75222,1.00914,0.000743661,0.000743661,0.000743661
15,3546.66,1.01853,0.71497,0.9936,0.69431,0.47441,0.53867,0.34181,1.03995,0.7393,1.00759,0.000736788,0.000736788,0.000736788
16,3786.21,1.01407,0.7029,0.98925,0.65948,0.47964,0.53988,0.34537,1.04851,0.737,1.00645,0.000729916,0.000729916,0.000729916
