epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.148,1.10421,1.0322,1.02155,0.50627,0.41651,0.4304,0.26458,1.12966,0.87978,1.04691,0.000277293,0.000277293,0.000277293
2,454.183,1.17405,0.90131,1.06186,0.55178,0.3752,0.4106,0.25047,1.18638,0.91588,1.07411,0.000550382,0.000550382,0.000550382
3,688.088,1.18504,0.90284,1.06799,0.5083,0.4212,0.41944,0.24989,1.17588,0.90976,1.0703,0.000818888,0.000818888,0.000818888
4,924.124,1.1622,0.87597,1.05722,0.48291,0.40014,0.40454,0.24313,1.17538,0.88901,1.06454,0.000812383,0.000812383,0.000812383
5,1164.63,1.14769,0.84224,1.05152,0.53891,0.41874,0.42408,0.26108,1.16523,0.85648,1.05897,0.000805511,0.000805511,0.000805511
6,1405.52,1.12495,0.81498,1.04035,0.58851,0.43437,0.46534,0.29166,1.14041,0.83004,1.0537,0.000798639,0.000798639,0.000798639
7,1647.99,1.10547,0.80078,1.03586,0.52702,0.47922,0.47864,0.29793,1.10516,0.8249,1.03508,0.000791767,0.000791767,0.000791767
8,1889.46,1.09137,0.78662,1.02573,0.63314,0.45303,0.49654,0.31241,1.10272,0.80119,1.03342,0.000784894,0.000784894,0.000784894
9,2127.05,1.07955,0.77164,1.02079,0.60775,0.4755,0.50932,0.30897,1.0838,0.79517,1.02261,0.000778022,0.000778022,0.000778022
10,2367.66,1.0601,0.76,1.01415,0.56423,0.45247,0.47735,0.30696,1.08107,0.79062,1.02429,0.00077115,0.00077115,0.00077115
11,2626.06,1.04665,0.74176,1.00722,0.62467,0.47684,0.51956,0.32681,1.06668,0.76764,1.0163,0.000764278,0.000764278,0.000764278
12,2882.04,1.04463,0.7357,1.00635,0.64913,0.47411,0.52272,0.33552,1.05652,0.76677,1.01653,0.000757405,0.000757405,0.000757405
13,3137.29,1.03467,0.72623,1.0021,0.58917,0.49397,0.50281,0.32249,1.07064,0.76622,1.01835,0.000750533,0.000750533,0.000750533
14,3393.53,1.033,0.72317,1.00064,0.64597,0.46379,0.51562,0.32686,1.05533,0.76025,1.00995,0.000743661,0.000743661,0.000743661
15,3648.55,1.02104,0.71488,0.99274,0.63066,0.49833,0.53218,0.34212,1.04568,0.73797,1.00871,0.000736788,0.000736788,0.000736788
16,3903.61,1.02176,0.70963,0.99385,0.65775,0.48692,0.54476,0.34648,1.04107,0.73759,1.00807,0.000729916,0.000729916,0.000729916
17,4159.04,1.00981,0.70036,0.98788,0.67156,0.49012,0.54851,0.355,1.02476,0.72865,1.00127,0.000723044,0.000723044,0.000723044
18,4414.35,0.99762,0.68777,0.9861,0.68138,0.48469,0.53988,0.35245,1.01228,0.72944,0.99726,0.000716172,0.000716172,0.000716172
19,4670.1,0.99382,0.68393,0.98237,0.6747,0.49981,0.55664,0.36505,1.02585,0.72714,1.00494,0.000709299,0.000709299,0.000709299
20,4925.29,0.98866,0.68331,0.98273,0.6508,0.49427,0.54757,0.35748,1.02099,0.71824,0.99829,0.000702427,0.000702427,0.000702427
21,5180.68,0.98358,0.6777,0.97934,0.691,0.50552,0.57237,0.36638,1.01378,0.71644,0.99153,0.000695555,0.000695555,0.000695555
22,5437.16,0.97814,0.66921,0.97655,0.65285,0.53044,0.56932,0.37236,1.01211,0.70605,0.99295,0.000688683,0.000688683,0.000688683
23,5684.18,0.97254,0.66281,0.97231,0.67433,0.52675,0.57555,0.36784,1.0092,0.70066,0.99194,0.00068181,0.00068181,0.00068181
24,5918.75,0.97346,0.66411,0.97306,0.64797,0.51228,0.5628,0.36846,0.99751,0.70537,0.98652,0.000674938,0.000674938,0.000674938
25,6154.53,0.96648,0.65553,0.96509,0.66344,0.51829,0.57564,0.3773,0.99571,0.6954,0.98712,0.000668066,0.000668066,0.000668066
26,6389.85,0.96285,0.65422,0.96821,0.74446,0.50008,0.58051,0.38157,0.99896,0.69145,0.98351,0.000661194,0.000661194,0.000661194
27,6624.76,0.96086,0.64703,0.9664,0.66575,0.52527,0.57615,0.37883,1.00204,0.69559,0.98895,0.000654321,0.000654321,0.000654321
28,6859.59,0.94795,0.63868,0.95945,0.72053,0.52018,0.59407,0.38705,0.99929,0.69448,0.98529,0.000647449,0.000647449,0.000647449
29,7095.11,0.95591,0.64149,0.96205,0.69807,0.50183,0.57381,0.37244,0.99654,0.70135,0.98736,0.000640577,0.000640577,0.000640577
30,7332.05,0.94074,0.63496,0.95798,0.68735,0.53255,0.58138,0.37858,0.9834,0.69307,0.98198,0.000633705,0.000633705,0.000633705
31,7568.04,0.94225,0.63143,0.95893,0.70938,0.54105,0.59663,0.3875,0.98503,0.6805,0.98528,0.000626832,0.000626832,0.000626832
32,7804.1,0.93835,0.63119,0.95784,0.69346,0.53164,0.58948,0.39624,0.98666,0.68145,0.9828,0.00061996,0.00061996,0.00061996
33,8040.09,0.93312,0.61839,0.95518,0.72102,0.51744,0.59651,0.38756,0.99109,0.68103,0.98359,0.000613088,0.000613088,0.000613088
34,8276.55,0.93093,0.6201,0.95229,0.67606,0.5182,0.58119,0.37652,0.98386,0.6811,0.98072,0.000606216,0.000606216,0.000606216
35,8512.4,0.9214,0.61704,0.95153,0.64258,0.50685,0.55105,0.36756,0.97926,0.68242,0.98071,0.000599343,0.000599343,0.000599343
36,8748.57,0.91707,0.61174,0.952,0.71881,0.51997,0.59216,0.39088,0.98057,0.67345,0.98043,0.000592471,0.000592471,0.000592471
37,8983.59,0.92308,0.61431,0.94937,0.70312,0.52825,0.58538,0.3811,0.9819,0.67519,0.97989,0.000585599,0.000585599,0.000585599
38,9219.1,0.91367,0.60436,0.94696,0.70528,0.54181,0.60182,0.3894,0.97425,0.67244,0.9749,0.000578727,0.000578727,0.000578727
39,9454.71,0.90957,0.60242,0.94661,0.71711,0.5272,0.60796,0.39254,0.96788,0.66772,0.9774,0.000571854,0.000571854,0.000571854
40,9690.3,0.90406,0.60069,0.94359,0.70478,0.53885,0.5987,0.40102,0.96756,0.66367,0.97573,0.000564982,0.000564982,0.000564982
41,9925.98,0.90409,0.5903,0.94135,0.68972,0.53957,0.60739,0.4009,0.96592,0.65488,0.97519,0.00055811,0.00055811,0.00055811
42,10161.7,0.90465,0.59438,0.94205,0.7092,0.53616,0.60842,0.3998,0.97224,0.65723,0.97778,0.000551238,0.000551238,0.000551238
43,10397.5,0.90763,0.59441,0.94331,0.71236,0.56126,0.61096,0.39792,0.96605,0.6548,0.97583,0.000544365,0.000544365,0.000544365
44,10632.5,0.89767,0.58883,0.94173,0.75753,0.50674,0.60592,0.40188,0.96033,0.65833,0.97089,0.000537493,0.000537493,0.000537493
45,10868.4,0.8945,0.5881,0.939,0.70605,0.56872,0.61442,0.40725,0.96049,0.65402,0.9721,0.000530621,0.000530621,0.000530621
46,11105.2,0.89098,0.57923,0.93697,0.69108,0.56467,0.60948,0.40127,0.96381,0.65318,0.97191,0.000523749,0.000523749,0.000523749
47,11342.1,0.88842,0.57948,0.93405,0.73293,0.53455,0.60805,0.40214,0.95759,0.65223,0.96931,0.000516877,0.000516877,0.000516877
48,11578,0.88263,0.57923,0.93834,0.71926,0.56162,0.60788,0.40387,0.96051,0.6553,0.97387,0.000510004,0.000510004,0.000510004
49,11814.8,0.87849,0.57116,0.93357,0.76052,0.53868,0.62585,0.41355,0.95341,0.64373,0.96938,0.000503132,0.000503132,0.000503132
50,12051.6,0.87707,0.57052,0.93135,0.77434,0.52118,0.61882,0.40498,0.95623,0.64923,0.97133,0.00049626,0.00049626,0.00049626
51,12288.6,0.87687,0.57024,0.92921,0.708,0.56448,0.62566,0.41482,0.95732,0.64659,0.96859,0.000489387,0.000489387,0.000489387
52,12525.3,0.87605,0.56725,0.92975,0.68096,0.57695,0.62091,0.40992,0.9554,0.64428,0.96865,0.000482515,0.000482515,0.000482515
53,12762.1,0.8668,0.56126,0.92856,0.66668,0.57581,0.61943,0.41484,0.94927,0.64265,0.96644,0.000475643,0.000475643,0.000475643
54,12998.7,0.86815,0.56127,0.93008,0.71354,0.56621,0.62566,0.40683,0.95422,0.64208,0.9696,0.000468771,0.000468771,0.000468771
55,13234.8,0.86232,0.55792,0.92736,0.74125,0.53674,0.61574,0.41456,0.94854,0.64013,0.96794,0.000461898,0.000461898,0.000461898
56,13472.6,0.86341,0.55401,0.925,0.77294,0.5489,0.63554,0.42426,0.94509,0.63974,0.96613,0.000455026,0.000455026,0.000455026
57,13729,0.85342,0.5512,0.92167,0.77931,0.51873,0.61102,0.40271,0.95129,0.64358,0.97178,0.000448154,0.000448154,0.000448154
58,13985.3,0.85366,0.54834,0.92258,0.7015,0.5748,0.62242,0.41141,0.95087,0.63629,0.97073,0.000441282,0.000441282,0.000441282
59,14242.1,0.85659,0.54608,0.92451,0.72087,0.56245,0.62365,0.41489,0.9459,0.63278,0.96636,0.000434409,0.000434409,0.000434409
60,14498.8,0.84794,0.54082,0.91918,0.71551,0.57008,0.62527,0.4122,0.95071,0.63782,0.96786,0.000427537,0.000427537,0.000427537
61,14756.2,0.84312,0.53921,0.91938,0.73655,0.55119,0.61087,0.40624,0.94809,0.6436,0.96859,0.000420665,0.000420665,0.000420665
62,15013,0.83911,0.53801,0.91637,0.74167,0.55488,0.62775,0.41617,0.95029,0.6392,0.97109,0.000413793,0.000413793,0.000413793
63,15254.1,0.83983,0.53547,0.91653,0.71149,0.57266,0.62029,0.40945,0.95148,0.63489,0.97331,0.00040692,0.00040692,0.00040692
64,15491.3,0.84044,0.53483,0.91623,0.72567,0.59172,0.63852,0.41929,0.94464,0.6306,0.96945,0.000400048,0.000400048,0.000400048
65,15728.4,0.83544,0.528,0.91495,0.71908,0.55798,0.62734,0.41263,0.94617,0.6359,0.9682,0.000393176,0.000393176,0.000393176
66,15965.4,0.83623,0.53126,0.91444,0.72215,0.54872,0.61585,0.40487,0.94713,0.64097,0.96925,0.000386304,0.000386304,0.000386304
67,16201.7,0.83428,0.53094,0.91476,0.79783,0.50601,0.61586,0.41456,0.93894,0.63526,0.96566,0.000379431,0.000379431,0.000379431
