epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.086,1.09665,1.02256,1.01746,0.51142,0.43553,0.44012,0.26538,1.15291,0.92331,1.05555,0.000277293,0.000277293,0.000277293
2,439.15,1.17101,0.89843,1.06247,0.44109,0.38432,0.40332,0.24973,1.18006,0.91451,1.06697,0.000550382,0.000550382,0.000550382
3,661.352,1.18001,0.90251,1.06821,0.51563,0.41006,0.41409,0.25422,1.17532,0.89001,1.0674,0.000818888,0.000818888,0.000818888
4,887.675,1.15093,0.86328,1.05503,0.47308,0.38852,0.41416,0.25483,1.17298,0.88731,1.0614,0.000812383,0.000812383,0.000812383
5,1115.94,1.14217,0.83877,1.04749,0.53505,0.37922,0.42271,0.267,1.15995,0.85392,1.05285,0.000805511,0.000805511,0.000805511
6,1344.9,1.11922,0.81533,1.03857,0.59662,0.41963,0.46148,0.28875,1.12967,0.82629,1.05178,0.000798639,0.000798639,0.000798639
7,1575.5,1.09974,0.79846,1.0355,0.48858,0.41648,0.43314,0.26603,1.11774,0.84982,1.0456,0.000791767,0.000791767,0.000791767
8,1804.63,1.08798,0.78745,1.02726,0.57008,0.42612,0.45572,0.29081,1.11336,0.82328,1.04021,0.000784894,0.000784894,0.000784894
9,2034.17,1.06916,0.76834,1.01792,0.58145,0.44977,0.48935,0.30985,1.07913,0.79023,1.01931,0.000778022,0.000778022,0.000778022
10,2262.86,1.05628,0.75412,1.01234,0.53315,0.45402,0.46196,0.29598,1.08582,0.80287,1.02999,0.00077115,0.00077115,0.00077115
11,2491.1,1.0457,0.73987,1.00673,0.57924,0.50058,0.51456,0.33179,1.07053,0.77193,1.02012,0.000764278,0.000764278,0.000764278
12,2720.15,1.04089,0.73789,1.00628,0.6312,0.46016,0.50193,0.32762,1.05453,0.75479,1.00957,0.000757405,0.000757405,0.000757405
13,2948.88,1.03014,0.72534,1.00014,0.57276,0.49633,0.51128,0.33092,1.06478,0.76194,1.01921,0.000750533,0.000750533,0.000750533
14,3178.46,1.02866,0.72055,0.99838,0.60456,0.48581,0.5164,0.32112,1.04876,0.75837,1.0091,0.000743661,0.000743661,0.000743661
15,3407.48,1.01958,0.70799,0.99153,0.65545,0.47913,0.51874,0.33814,1.04208,0.74491,1.00536,0.000736788,0.000736788,0.000736788
16,3636.95,1.01244,0.70148,0.98939,0.64413,0.47636,0.53389,0.35069,1.04241,0.73189,1.00289,0.000729916,0.000729916,0.000729916
17,3866.62,1.00219,0.69458,0.98577,0.68897,0.49141,0.55431,0.35117,1.02586,0.73462,0.99641,0.000723044,0.000723044,0.000723044
18,4096.52,0.98618,0.68095,0.98028,0.6069,0.48048,0.51476,0.33994,1.01919,0.73684,0.99596,0.000716172,0.000716172,0.000716172
19,4326.15,0.98911,0.68174,0.97931,0.71899,0.46864,0.54164,0.35777,1.02787,0.72282,1.00139,0.000709299,0.000709299,0.000709299
20,4555.66,0.98614,0.68059,0.98277,0.63911,0.50764,0.549,0.35711,1.01326,0.72458,0.99597,0.000702427,0.000702427,0.000702427
21,4784.8,0.98258,0.67463,0.97994,0.67823,0.50259,0.56142,0.36679,1.00834,0.7116,0.99006,0.000695555,0.000695555,0.000695555
22,5014.43,0.97382,0.6628,0.97318,0.70828,0.49782,0.57215,0.37608,1.01615,0.70935,0.99455,0.000688683,0.000688683,0.000688683
23,5243.92,0.96831,0.65862,0.97097,0.67526,0.54306,0.57427,0.3677,1.00799,0.70582,0.98925,0.00068181,0.00068181,0.00068181
24,5473.23,0.96788,0.66144,0.97085,0.65474,0.4845,0.54533,0.35931,0.99981,0.71402,0.98556,0.000674938,0.000674938,0.000674938
25,5702.7,0.96063,0.64806,0.96437,0.6757,0.52904,0.57032,0.37818,0.99808,0.69628,0.9883,0.000668066,0.000668066,0.000668066
26,5932.27,0.95978,0.65122,0.96717,0.65575,0.52072,0.5648,0.3712,0.99967,0.69888,0.98576,0.000661194,0.000661194,0.000661194
27,6176.61,0.95253,0.64112,0.96368,0.65756,0.51969,0.55405,0.36306,0.99413,0.69858,0.98495,0.000654321,0.000654321,0.000654321
28,6404.79,0.94485,0.63921,0.95747,0.71374,0.5211,0.57944,0.3706,0.99094,0.69458,0.98262,0.000647449,0.000647449,0.000647449
